Time (h)	Mannitol	Inositol	Sorbitol	Rhamnose	Sucrose	Lactose
 1	 0.3693001	 0.3366087	 0.2960806	 0.6316754	 0.2125666	 0.0054330
 2	 0.6900218	 0.3446447	 0.2326389	 0.8529305	 0.2575112	 0.0089572
 3	 0.8280429	 0.4935319	 0.3645188	 1.9979138	 0.6215158	 0.0224807
 4	 1.3653549	 0.8953638	 0.4860102	 4.1124946	 1.6888965	 0.0470907
 5	 2.7907164	 1.6318663	 0.9096750	 6.9562214	 3.0358269	 0.0634890
 6	 5.4867885	 2.5259037	 1.5535097	 7.7185707	 3.6068761	 0.0694069
 7	 6.9325527	 3.0721202	 2.3635222	 8.6380565	 3.8432239	 0.0728282
 8	 8.1759196	 3.8685799	 3.2742891	 9.2172975	 3.9907946	 0.0718188
 9	 8.7963804	 4.5739463	 4.0031111	 9.3292048	 3.9596341	 0.0736822
10	 8.7962963	 4.9338361	 4.2861430	 9.1256908	 4.0824072	 0.0743080
11	 8.8398665	 5.0593247	 4.5238234	 9.1524339	 3.9967790	 0.0720594
12	 8.8015903	 5.1669598	 4.6024257	 9.3567631	 3.9505046	 0.0719580
13	 8.8392363	 5.0506524	 4.7327015	 9.0827230	 3.9410693	 0.0719275
14	 8.6748209	 5.2027893	 4.7810634	 9.0488449	 4.0182673	 0.0727730
15	 8.7716668	 5.2164731	 4.7876956	 9.2673302	 3.9888877	 0.0736465
16	 8.9106459	 5.0777704	 4.7738606	 9.2876220	 4.0209614	 0.0729800
17	 8.9379897	 5.1462775	 4.6889991	 9.3145053	 3.9809390	 0.0725088
18	 8.7580958	 5.0930301	 4.6850000	 9.3028825	 4.0826938	 0.0737812
19	 8.9321411	 5.0463457	 4.7520588	 9.2830377	 4.0625354	 0.0737877
20	 8.6933078	 5.1762390	 4.6655393	 9.0953714	 3.9486130	 0.0719586
